tag,fault_type,severity,omega_step,load_profile,seed,rms_r_iq_ss,maxabs_r_iq_ss,mean_r_iq_ss,std_r_iq_ss,rms_r_id_ss,maxabs_r_id_ss,mean_r_id_ss,std_r_id_ss,rms_r_om_ss,maxabs_r_om_ss,rms_r_iq_tr,maxabs_r_iq_tr,energy_r_iq_tr,fdom_r_iq_tr,fratio_r_iq_tr,rms_r_id_tr,maxabs_r_id_tr,energy_r_id_tr,fdom_r_id_tr,fratio_r_id_tr
20260301_204447_w40_lp0_seed0_healthy_r0,healthy,0.0,40.0,0,0,0.010027122791990849,0.03633563436993903,2.0304656491586835e-05,0.010027102233775575,0.010010820718744923,0.04852117653180117,0.00010023849700588572,0.010010318861383517,0.009982570427804672,0.03852020171941817,0.01004238961653435,0.03992961068105805,0.20169917842055385,41700.0,0.0032500334686951533,0.010181983200988485,0.037029384983912526,0.20734556381042343,15900.0,0.0028734950742802822
20260301_204447_w40_lp0_seed0_healthy_r1,healthy,0.0,40.0,0,0,0.00999102450226232,0.03786780301309145,-0.00016684970125237895,0.00998963121351324,0.009727897688314557,0.04403334062542879,0.00013973796723125385,0.00972689399216573,0.010008588860473037,0.03509791972238219,0.009957792292358698,0.033603293576007776,0.19831525467551658,47950.0,0.0026346846925532474,0.0098708461248599,0.036444821321153086,0.19486720644132338,750.0,0.0031275571120317792
20260301_204447_w40_lp0_seed0_healthy_r2,healthy,0.0,40.0,0,0,0.009992599960675074,0.04498193698573516,-0.00010314922438967633,0.00999206756440284,0.009770876928893288,0.03769165771418794,0.00019539075596020257,0.009768923093773666,0.010083768057452586,0.038773379083199444,0.0098370285934879,0.03263150883709276,0.19353426309819707,20900.0,0.003175037057689728,0.01006266207071666,0.032849952874481794,0.20251433589887938,19000.0,0.00284474476362126
20260301_204447_w40_lp0_seed0_rs_drift_p02,rs_drift,0.02,40.0,0,0,0.010301013289873547,0.03853498386368459,-0.0022253850258910535,0.010057760003335301,0.010985595388449745,0.0533341130204056,-0.004531521535931266,0.010007428171519367,0.15666129939025863,0.20125270859664468,0.024138748696957958,0.06500500680352195,1.1653583773097789,50.0,0.025648099751912366,0.012443068010736994,0.03997068806638279,0.30965988303965264,50.0,0.0069769553267105405
20260301_204447_w40_lp0_seed0_rs_drift_p05,rs_drift,0.05,40.0,0,0,0.011622489121752214,0.04183099547815683,-0.005590574434191765,0.010189589338192681,0.015247076326690043,0.060567544024900374,-0.011494291562504208,0.01001771420974149,0.39070086867244513,0.4524036101994575,0.055865448678129696,0.11704322678704138,6.241896712017486,50.0,0.061402324802742624,0.020347900721076926,0.051891393154349666,0.8280741275096057,50.0,0.016235742930946324
20260301_204447_w40_lp0_seed0_rs_drift_p08,rs_drift,0.08,40.0,0,0,0.013737968553998904,0.04512337988642878,-0.008951679969781043,0.010421094266404252,0.021029480001077926,0.06781782179020797,-0.018475219302495918,0.010045163056935345,0.6249840856434026,0.7040830904995055,0.08827335103565218,0.16924574267145687,15.58436900612695,50.0,0.09270593504368718,0.029841239458967533,0.0661430648762926,1.7809991448948816,50.0,0.025056346725839097
20260301_204447_w40_lp0_seed0_rs_drift_p10,rs_drift,0.1,40.0,0,0,0.015432775630443702,0.04806996893883797,-0.011190107948570529,0.010627890089709982,0.02523659361336179,0.0726607081756154,-0.023139259505224892,0.010072751697318492,0.7812451373556073,0.8722463145634656,0.10984913450317049,0.20454105918478138,24.133664702191282,50.0,0.11148716177008508,0.03644039385216022,0.07559107294174555,2.6558046082011124,50.0,0.03068999478414328
20260301_204447_w40_lp0_seed0_rs_drift_p15,rs_drift,0.15,40.0,0,0,0.02023485574169158,0.05613655290720754,-0.01677791248821283,0.011311544519867328,0.03628972720106441,0.08480074969723346,-0.03483467174835151,0.010173000762423813,1.1721150561030895,1.294002272945317,0.16344011040011552,0.2908445741108756,53.4253393752039,50.0,0.15235503620810253,0.053259205766749806,0.09902301014522066,5.6730859978099915,50.0,0.04397035337688615
20260301_204447_w40_lp0_seed0_rs_drift_p20,rs_drift,0.2,40.0,0,0,0.025466381073641044,0.06469027260565152,-0.02235358082711341,0.012200573314136131,0.04770908366898413,0.09698775095091089,-0.04658053247336409,0.01031555422805781,1.5632822666131758,1.7159562323370885,0.21644234593316622,0.3747047776841783,93.6945782261048,50.0,0.18635807605269777,0.07022415400564386,0.12218310485019014,9.862863611616772,50.0,0.05620936045786686
20260301_204447_w40_lp0_seed0_rs_drift_p30,rs_drift,0.3,40.0,0,0,0.03644837045594433,0.0817290930021195,-0.033466789519129965,0.014438064557827974,0.07103629369963117,0.12150296879280317,-0.07022361614618174,0.010714418226575989,2.3465019776950076,2.5628786204418503,0.32062784388910637,0.5363170827238588,205.60442855395434,50.0,0.23967261063673342,0.10414671976874008,0.16767616197367888,21.69307847717695,50.0,0.07803443459754009
